"Variable1","Variable2","N","Correlation","P_value","Significance"
"lipids1","lipids5",872,0.9994,0,"***"
"lipids2","lipids4",1148,0.8833,0,"***"
"lipid_pero2","lipid_pero3",1148,0.7701,0,"***"
"factor_h","factor_pcos",165,-0.5235,0,"***"
"lipid_pero1","lipid_pero2",1148,0.4441,0,"***"
"lipid_pero1","lipid_pero3",1148,0.3814,0,"***"
"antioxidant4","antioxidant5",1148,0.3347,0,"***"
"lipids2","lipids5",872,0.283,0,"***"
"lipids1","lipids2",1148,0.2758,0,"***"
"lipid_pero2","lipid_pero4",1148,0.201,0,"***"
"lipid_pero2","antioxidant5",1148,0.1883,0,"***"
"lipids5","сarb_metabolism",872,0.1786,0,"***"
"lipids1","сarb_metabolism",1148,0.1656,0,"***"
"lipid_pero1","lipid_pero4",1148,0.1644,0,"***"
"factor_eth","factor_h",1134,0.1642,0,"***"
"lipids3","factor_pcos",165,0.1625,0.035,"*"
"lipids3","lipids5",872,-0.1493,0,"***"
"lipids4","lipids5",872,0.1468,0,"***"
"antioxidant1","factor_pcos",165,-0.1422,0.067,""
"lipid_pero3","antioxidant5",1148,0.1399,0,"***"
"lipid_pero3","lipid_pero4",1148,0.1394,0,"***"
"lipids1","lipids4",1148,0.1389,0,"***"
"lipids1","lipids3",1148,-0.1327,0,"***"
"lipids2","lipids3",1148,0.1228,0,"***"
"antioxidant2","antioxidant3",1148,0.1214,0,"***"
"lipids3","lipids4",1148,-0.121,0,"***"
"antioxidant3","factor_pcos",165,-0.1203,0.137,""
"сarb_metabolism","factor_eth",1147,-0.1199,0,"***"
"factor_eth","factor_prl",1133,0.1193,0,"***"
"factor_eth","factor_pcos",165,-0.1184,0.134,""
"lipids2","сarb_metabolism",1148,0.1133,0,"***"
"antioxidant4","factor_pcos",165,-0.1034,0.169,""
"lipids4","сarb_metabolism",1148,0.1032,0,"***"
"lipid_pero5","factor_pcos",165,0.0983,0.215,""
"lipid_pero1","сarb_metabolism",1148,0.0942,0,"***"
"antioxidant3","factor_eth",1147,0.092,0.001,"**"
"lipid_pero3","factor_pcos",165,-0.089,0.223,""
"lipid_pero1","antioxidant5",1148,0.0874,0.003,"**"
"lipids2","lipid_pero3",1148,0.0835,0.002,"**"
"lipids3","factor_eth",1147,0.0827,0.007,"**"
"lipid_pero5","antioxidant5",1148,-0.0811,0.01,"*"
"lipids3","сarb_metabolism",1148,-0.0808,0.008,"**"
"antioxidant4","factor_h",1134,-0.0777,0.006,"**"
"lipid_pero2","lipid_pero5",1148,-0.0774,0.011,"*"
"lipids5","lipid_pero4",872,0.0735,0.032,"*"
"lipid_pero5","сarb_metabolism",1148,-0.0729,0.017,"*"
"lipid_pero3","lipid_pero5",1148,-0.0721,0.011,"*"
"lipids2","factor_pcos",165,0.071,0.381,""
"antioxidant1","antioxidant5",1148,0.0705,0.02,"*"
"antioxidant4","сarb_metabolism",1148,-0.0682,0.023,"*"
"lipids2","lipid_pero4",1148,0.0669,0.02,"*"
"lipid_pero4","antioxidant5",1148,0.0664,0.021,"*"
"lipids4","lipid_pero3",1148,0.0658,0.022,"*"
"lipid_pero2","сarb_metabolism",1148,0.065,0.026,"*"
"factor_h","factor_prl",1133,0.0646,0.037,"*"
"lipids4","lipid_pero4",1148,0.0637,0.028,"*"
"antioxidant3","factor_h",1134,0.0636,0.033,"*"
"lipid_pero1","antioxidant1",1148,0.0632,0.025,"*"
"lipids3","lipid_pero1",1148,-0.0625,0.037,"*"
"lipid_pero4","factor_eth",1147,-0.0624,0.047,"*"
"lipid_pero4","сarb_metabolism",1148,0.0583,0.049,"*"
"lipids1","factor_eth",1147,0.0579,0.05,""
"lipids2","lipid_pero2",1148,0.056,0.06,""
"lipids5","factor_h",872,-0.0555,0.1,""
"lipids3","lipid_pero4",1148,-0.0541,0.065,""
"lipid_pero3","factor_prl",1133,0.054,0.075,""
"lipids4","lipid_pero1",1148,0.0537,0.06,""
"lipid_pero4","factor_h",1134,-0.0529,0.062,""
"lipids5","factor_eth",872,0.0515,0.13,""
"lipid_pero1","lipid_pero5",1148,-0.0507,0.08,""
"antioxidant1","antioxidant4",1148,0.05,0.097,""
"lipids3","lipid_pero3",1148,0.0491,0.103,""
"lipids5","antioxidant4",872,0.049,0.161,""
"lipids1","lipid_pero4",1148,0.0487,0.097,""
"сarb_metabolism","factor_prl",1133,-0.0485,0.108,""
"lipid_pero2","factor_pcos",165,-0.0484,0.534,""
"lipid_pero3","сarb_metabolism",1148,0.0472,0.098,""
"lipids2","factor_h",1134,-0.047,0.123,""
"lipids3","factor_prl",1133,0.0465,0.116,""
"lipid_pero2","antioxidant1",1148,0.0464,0.106,""
"lipids4","lipid_pero2",1148,0.046,0.116,""
"lipids5","antioxidant3",872,0.0458,0.17,""
"lipids4","antioxidant2",1148,0.0452,0.126,""
"antioxidant1","antioxidant2",1148,-0.0436,0.127,""
"lipids4","lipid_pero5",1148,0.0433,0.146,""
"lipids2","lipid_pero5",1148,0.0414,0.158,""
"lipids2","lipid_pero1",1148,0.0409,0.165,""
"lipid_pero2","antioxidant4",1148,0.0409,0.173,""
