"Variable","Coefficient","Std_Error","Odds_Ratio","CI_Lower","CI_Upper","P_value"
"(Intercept)",-0.9271,0.3442,0.396,0.202,0.777,0.0071
"hormone1",-0.1278,0.0827,0.88,0.748,1.035,0.1222
"hormone2",5e-04,3e-04,1.001,1,1.001,0.0879
"hormone3",0.0023,0.0083,1.002,0.986,1.019,0.7813
"hormone4",0.0073,0.0073,1.007,0.993,1.022,0.3191
"hormone5",-7e-04,4e-04,0.999,0.998,1,0.0787
"hormone6",-0.002,0.0018,0.998,0.995,1.001,0.2513
"hormone7",0.0172,0.0224,1.017,0.974,1.063,0.4421
"hormone8",-0.004,0.0012,0.996,0.994,0.998,0.0011
"hormone10_generated",-0.0142,0.062,0.986,0.873,1.113,0.8189
